Unnamed: 0,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7,Pop,Income,Dens
5649,Lisbon,6,2020-04-26,41.60276560000001,-72.01226109999998,0,141.0,0.0,0,4338,81200,13.831258644536653
5584,Bethany,22,2020-04-26,41.422964,-72.99418709999998,1,402.0,1.0,1,5563,97254,39.54700701060579
5673,Newtown,99,2020-04-26,41.3980947,-73.2931691,5,356.0,1.0,4,27560,111022,35.92162554426705
5648,Ledyard,9,2020-04-26,41.4311315,-72.0203029,1,61.0,0.0,0,15051,84825,5.979669124975085
5662,Montville,59,2020-04-26,41.4638999,-72.15557009999998,0,315.0,0.0,2,19571,70036,30.14664554698278
5678,North Stonington,2,2020-04-26,41.4711838,-71.87236949999998,0,38.0,0.0,0,5297,75954,3.7757221068529354
5697,Salem,4,2020-04-26,41.4893505,-72.25838040000002,0,97.0,0.0,0,4151,105326,9.63623223319682
5658,Middlefield,10,2020-04-26,41.514163,-72.7178435,0,228.0,0.0,0,4425,102426,22.598870056497177
5601,Cheshire,108,2020-04-26,41.5118273,-72.90361740000002,6,370.0,2.0,4,29261,106489,36.90919654147158
5701,Sharon,11,2020-04-26,41.8607607,-73.4492128,0,407.0,0.0,0,2782,74625,39.53989935298346
5740,Windsor,281,2020-04-26,41.8710365,-72.6750825,67,977.0,20.0,17,29044,81982,96.7497589863655
5736,Willington,5,2020-04-26,41.8972671,-72.25184770000001,0,85.0,0.0,0,6041,73526,8.276775368316503
5609,Cromwell,49,2020-04-26,41.6165508,-72.6616042,4,352.0,3.0,2,14005,82081,34.987504462691895
5689,Portland,47,2020-04-26,41.59883410000001,-72.58907090000002,10,505.0,1.0,1,9508,90417,49.432057214976865
5742,Wolcott,57,2020-04-26,41.5963055,-72.9696244,5,342.0,2.0,1,16680,80323,34.172661870503596
5634,Griswold,13,2020-04-26,41.5847725,-71.92109070000002,0,112.0,0.0,0,11951,59153,10.87775081583131
5617,East Hampton,29,2020-04-26,41.5677366,-72.5095441,3,226.0,1.0,1,12959,96299,22.378269928235206
5723,Voluntown,5,2020-04-26,41.5791925,-71.83122759999998,1,197.0,1.0,0,2603,76012,19.208605455243948
5582,Beacon Falls,34,2020-04-26,41.443685,-73.0519252,0,550.0,1.0,1,6049,83155,56.207637626053895
5684,Oxford,52,2020-04-26,41.4440006,-73.14799920000002,2,393.0,1.0,1,12683,97296,40.9997634629031
5610,Danbury,1321,2020-04-26,41.4018389,-73.4722848,72,1559.0,21.0,68,80893,66676,163.30213986377066
5620,East Lyme,51,2020-04-26,41.3567172,-72.230131,1,274.0,5.0,4,19159,84029,26.619343389529725
5702,Shelton,394,2020-04-26,41.3045153,-73.139041,87,959.0,7.0,11,39559,86870,99.59806870750019
5694,Ridgefield,174,2020-04-26,41.3062494,-73.5010194,29,696.0,2.0,5,24638,145902,70.62261547203506
5578,Ansonia,160,2020-04-26,41.3442494,-73.06982540000001,3,855.0,5.0,6,19249,43305,83.12120110135591
5619,East Haven,277,2020-04-26,41.2934528,-72.8589937,28,965.0,10.0,9,29257,63120,94.67819667088219
5681,Old Lyme,12,2020-04-26,41.3123196,-72.3057421,1,163.0,0.0,0,7603,87025,15.783243456530316
5626,Essex,14,2020-04-26,41.3473533,-72.41241219999998,1,210.0,0.0,0,6683,86376,20.948675744426158
5670,New London,68,2020-04-26,41.3306073,-72.0939176,2,252.0,0.0,2,27620,36250,24.619840695148444
5661,Monroe,72,2020-04-26,41.3392358,-73.22282750000002,5,370.0,0.0,2,19479,110558,36.96288310488218
5743,Woodbridge,85,2020-04-26,41.3635379,-73.0038921,16,965.0,-1.0,2,8990,133412,94.54949944382648
5612,Deep River,8,2020-04-26,41.3678191,-72.4774422,0,179.0,0.0,0,4629,69395,17.28235039965435
5585,Bethel,178,2020-04-26,41.3697777,-73.38950320000002,12,903.0,2.0,6,18584,92125,95.781317262161
5636,Guilford,72,2020-04-26,41.33902670000001,-72.7060885,1,324.0,9.0,3,22375,99132,32.17877094972067
5602,Chester,34,2020-04-26,41.4096829,-72.4847352,7,804.0,2.0,0,3994,78750,85.12769153730596
5677,North Haven,164,2020-04-26,41.3813273,-72.8563475,10,692.0,0.0,6,24093,86340,68.06956377371021
5713,Stonington,27,2020-04-26,41.3637981,-71.9113287,4,146.0,0.0,1,18545,77295,14.559180372067944
5652,Madison,72,2020-04-26,41.34674920000001,-72.6254563,5,398.0,7.0,3,18269,107183,39.411024139252284
5651,Lyme,1,2020-04-26,41.3986146,-72.33154559999998,0,43.0,0.0,0,2406,81650,4.156275976724855
5638,Hamden,549,2020-04-26,41.397363,-72.9222116,32,901.0,16.0,22,60960,70791,90.05905511811024
5614,Durham,19,2020-04-26,41.4689218,-72.68452540000001,1,264.0,0.0,0,7388,113152,25.717379534380076
5664,Naugatuck,151,2020-04-26,41.488597,-73.0518819,2,483.0,4.0,6,31862,58078,47.39187747159625
5637,Haddam,18,2020-04-26,41.48126420000001,-72.5481469,0,219.0,0.0,0,8346,99866,21.56721782890007
5628,Farmington,147,2020-04-26,41.7304216,-72.84305090000002,17,576.0,16.0,11,25340,91712,58.01104972375691
5712,Sterling,2,2020-04-26,41.7012,-71.81598819999998,0,53.0,0.0,0,3830,72220,5.221932114882506
5725,Warren,3,2020-04-26,41.7358548,-73.3428314,0,214.0,0.0,0,1461,90865,20.53388090349076
5644,Kent,9,2020-04-26,41.729782,-73.45414,0,323.0,2.0,0,2979,60714,30.211480362537763
5650,Litchfield,20,2020-04-26,41.7409544,-73.19278320000002,2,246.0,0.0,1,8466,82361,23.623907394283012
5642,Harwinton,22,2020-04-26,41.7613447,-73.06044320000002,2,405.0,0.0,1,5642,91875,38.993264799716414
5618,East Hartford,392,2020-04-26,41.7606953,-72.6076462,49,784.0,29.0,22,51252,48369,76.48482010458127
5730,West Hartford,267,2020-04-26,41.7665678,-72.75494350000002,41,424.0,18.0,13,63268,86569,42.20142884238477
5588,Bolton,9,2020-04-26,41.7645883,-72.4375755,2,184.0,0.0,0,4980,97019,18.072289156626507
5640,Hartford,898,2020-04-26,41.7660453,-72.68333940000002,75,733.0,50.0,40,124775,30630,71.96954518132638
5596,Burlington,19,2020-04-26,41.7575167,-72.9575607,2,197.0,0.0,0,9301,113472,20.427910977314266
5653,Manchester,313,2020-04-26,41.7752403,-72.524434,34,542.0,14.0,12,58241,63158,53.74220909668446
5580,Avon,44,2020-04-26,41.7871585,-72.8520463,5,240.0,1.0,2,18098,123894,24.312078682727375
5671,New Milford,200,2020-04-26,41.60464010000001,-73.4211295,7,741.0,15.0,11,28142,78343,71.06815436003127
5695,Rocky Hill,205,2020-04-26,41.6566243,-72.6617787,31,1018.0,3.0,10,19709,81576,104.0133948957329
5655,Marlborough,36,2020-04-26,41.636439,-72.45400179999999,0,566.0,4.0,2,6404,108698,56.21486570893192
5686,Plainville,93,2020-04-26,41.6739923,-72.8544338,10,528.0,2.0,4,17716,58500,52.49491984646647
5685,Plainfield,16,2020-04-26,41.69735479999999,-71.8969643,0,105.0,1.0,0,15405,60673,10.3862382343395
5577,Andover,6,2020-04-26,41.7329821,-72.3746584,0,186.0,1.0,0,3303,100321,18.1653042688465
5598,Canterbury,5,2020-04-26,41.695706,-72.003414,0,98.0,0.0,0,5132,83862,9.742790335151987
5729,Watertown,73,2020-04-26,41.6172439,-73.1143625,5,337.0,2.0,2,22514,78722,32.42426934351959
5616,East Haddam,9,2020-04-26,41.4766614,-72.39212009999999,0,100.0,0.0,0,9126,82117,9.861932938856016
5592,Bridgewater,6,2020-04-26,41.520294,-73.3610927,0,366.0,1.0,0,1727,98424,34.74232773595831
5657,Middlebury,29,2020-04-26,41.5246912,-73.1230162,2,375.0,0.0,1,7575,97756,38.28382838283828
5690,Preston,3,2020-04-26,41.5186523,-72.0065973,0,65.0,0.0,0,4726,69275,6.34786288616166
5656,Meriden,301,2020-04-26,41.5367771,-72.7945433,28,506.0,23.0,15,60868,54588,49.451271604126966
5589,Bozrah,5,2020-04-26,41.5450583,-72.175228,0,197.0,0.0,0,2627,77045,19.033117624666918
5659,Middletown,277,2020-04-26,41.5495338,-72.6577193,33,600.0,3.0,10,47648,63691,58.13465413028879
5696,Roxbury,6,2020-04-26,41.5554983,-73.2960113,1,278.0,0.0,0,2262,96875,26.52519893899204
5594,Brookfield,122,2020-04-26,41.4698845,-73.3936666,4,718.0,0.0,3,16452,112684,74.15511791879408
5680,Norwich,36,2020-04-26,41.5478603,-72.089488,2,92.0,1.0,1,40493,50078,8.89042550564295
5727,Waterbury,1131,2020-04-26,41.5585001,-73.03668449999998,93,1046.0,27.0,41,110366,40467,102.47721218491202
5604,Colchester,18,2020-04-26,41.5573768,-72.3442483,1,113.0,3.0,0,16068,97313,11.202389843166541
5583,Berlin,94,2020-04-26,41.6054768,-72.7784592,6,460.0,2.0,4,19866,87810,47.31702406121011
5708,Southington,157,2020-04-26,41.606877,-72.87878420000001,10,358.0,2.0,5,43069,82704,36.45313334416866
5709,Sprague,2,2020-04-26,41.6355702,-72.07752679999999,0,69.0,0.0,0,2984,64063,6.702412868632708
5629,Franklin,2,2020-04-26,41.6212115,-72.14260909999999,0,103.0,-1.0,0,1922,87708,10.405827263267431
5703,Sherman,11,2020-04-26,41.5811909,-73.5014683,1,304.0,0.0,0,3581,108398,30.717676626640603
5586,Bethlehem,7,2020-04-26,41.6357676,-73.2114114,1,205.0,0.0,0,3607,84306,19.40670917660105
5744,Woodbury,29,2020-04-26,41.5616321,-73.20609590000002,2,304.0,0.0,1,9975,80350,29.072681704260653
5724,Wallingford,198,2020-04-26,41.461989,-72.8055114,14,445.0,12.0,10,45135,74060,43.86839481555334
5646,Killingworth,12,2020-04-26,41.3807395,-72.57665899999998,4,188.0,1.0,0,6525,112137,18.39080459770115
5613,Derby,95,2020-04-26,41.3261714,-73.08256949999998,2,759.0,10.0,4,12902,51596,73.63199503952876
5707,Southbury,122,2020-04-26,41.476862,-73.2300815,17,621.0,4.0,4,19904,84058,61.29421221864952
5718,Tolland,36,2020-04-26,41.882488,-72.3590679,1,246.0,0.0,1,15052,110593,23.91708743024183
5726,Washington,18,2020-04-26,41.6561747,-73.31017469999998,1,524.0,0.0,0,3578,81354,50.30743432084964
5687,Plymouth,39,2020-04-26,41.6663976,-73.026515,0,335.0,1.0,1,12243,70167,31.854937515314873
5647,Lebanon,13,2020-04-26,41.632955,-72.24008959999998,1,180.0,1.0,0,7308,89375,17.78872468527641
5665,New Britain,377,2020-04-26,41.6765545,-72.7861613,27,520.0,13.0,17,73206,40457,51.49851105100675
5663,Morris,7,2020-04-26,41.6943221,-73.2099997,0,309.0,0.0,0,2388,83750,29.31323283082077
5593,Bristol,321,2020-04-26,41.6815776,-72.94074870000001,38,535.0,7.0,11,60477,61478,53.07802966416985
5704,Simsbury,62,2020-04-26,41.877282,-72.8290758,3,248.0,1.0,2,23511,113355,26.37063502190464
5672,Newington,185,2020-04-26,41.6869935,-72.73083840000002,23,614.0,12.0,7,30562,79960,60.53268765133172
5643,Hebron,14,2020-04-26,41.6583378,-72.3934727,1,148.0,0.0,0,9686,105104,14.453850918851952
5606,Columbia,7,2020-04-26,41.6945271,-72.305414,0,130.0,0.0,0,5485,89986,12.762078395624432
5630,Glastonbury,152,2020-04-26,41.6918834,-72.5521735,35,441.0,3.0,6,34427,109018,44.15139280216109
5699,Scotland,0,2020-04-26,41.6921799,-72.0996602,0,0.0,0.0,0,1726,79896,0.0
5739,Windham,42,2020-04-26,41.7024192,-72.1700811,1,170.0,3.0,2,25268,41398,16.621814152287477
5692,Putnam,11,2020-04-26,41.9080271,-71.8704519,0,117.0,0.0,0,9584,51621,11.477462437395658
5621,East Windsor,36,2020-04-26,41.9040095,-72.5644729,1,316.0,1.0,2,11162,74798,32.25228453682136
5741,Windsor Locks,39,2020-04-26,41.9277901,-72.65161579999999,5,303.0,2.0,1,12498,68944,31.204992798847815
5735,Wethersfield,125,2020-04-26,41.70248370000001,-72.66930140000002,5,479.0,8.0,5,26668,77195,46.87265636718164
5624,Ellington,29,2020-04-26,41.9151666,-72.4442938,4,178.0,2.0,1,15602,85545,18.587360594795538
5607,Cornwall,4,2020-04-26,41.8496485,-73.3300949,0,292.0,0.0,0,1420,75833,28.169014084507044
5631,Goshen,7,2020-04-26,41.8495372,-73.2340016,0,243.0,0.0,0,2976,92361,23.521505376344088
5716,Thomaston,37,2020-04-26,41.6648907,-73.0958729,0,489.0,0.0,1,7887,67191,46.91264105490047
5595,Brooklyn,13,2020-04-26,41.787243200000006,-71.9574015,0,157.0,0.0,1,8210,60694,15.834348355663824
5639,Hampton,0,2020-04-26,41.78303010000001,-72.0645718,0,0.0,0.0,0,1863,76625,0.0
5600,Chaplin,1,2020-04-26,41.7908895,-72.1295395,0,44.0,1.0,0,2305,67054,4.3383947939262475
5654,Mansfield,16,2020-04-26,41.7892725,-72.2284642,1,62.0,0.0,1,26543,60263,6.027954639641337
5608,Coventry,26,2020-04-26,41.7800989,-72.3440207,0,209.0,1.0,1,12435,90309,20.908725371934057
5706,South Windsor,78,2020-04-26,41.8380902,-72.5778358,12,299.0,3.0,4,25709,97389,30.33956980045898
5722,Vernon,120,2020-04-26,41.83752310000001,-72.4591228,7,410.0,16.0,4,29179,59961,41.12546694540594
5688,Pomfret,9,2020-04-26,41.8653744,-71.9791434,0,214.0,0.0,0,4247,91053,21.191429244172355
5719,Torrington,278,2020-04-26,41.8342549,-73.13152009999997,49,812.0,5.0,11,36383,56264,76.40931204133798
5587,Bloomfield,233,2020-04-26,41.8449305,-72.7409509,42,1094.0,6.0,11,20486,72762,113.73621009469882
5645,Killingly,19,2020-04-26,41.82986560000001,-71.8490767,1,110.0,0.0,0,17370,55764,10.938399539435808
5721,Union,1,2020-04-26,42.005783,-72.158567,0,119.0,0.0,0,854,95865,11.7096018735363
5710,Stafford,73,2020-04-26,41.98388189999999,-72.3075749,17,614.0,1.0,2,12087,62371,60.39546620335898
5705,Somers,65,2020-04-26,41.9927806,-72.45362970000002,2,600.0,2.0,5,11444,95605,56.798322264942335
5625,Enfield,276,2020-04-26,41.983993,-72.5555531,16,621.0,4.0,8,44654,67377,61.80857258028396
5715,Suffield,85,2020-04-26,41.9999149,-72.67875090000003,12,540.0,1.0,2,15735,99707,54.01970130282809
5632,Granby,13,2020-04-26,41.9714802,-72.83015879999998,1,114.0,3.0,0,11282,102671,11.522779648998405
5668,New Hartford,17,2020-04-26,41.8410406,-72.9986804,1,254.0,1.0,0,6970,87596,24.390243902439025
5579,Ashford,9,2020-04-26,41.8971227,-72.17142679999998,0,211.0,0.0,0,4317,77870,20.847810979847115
5599,Canton,51,2020-04-26,41.8587259,-72.9108619,12,497.0,3.0,3,10292,87326,49.55305091333074
5693,Redding,55,2020-04-26,41.3054148,-73.3925837,6,603.0,0.0,3,9158,121270,60.05678095654073
5711,Stamford,2255,2020-04-26,41.0798566,-73.54602790000001,115,1738.0,8.0,71,122643,79359,183.8669960780477
5734,Westport,230,2020-04-26,41.1220019,-73.3434064,12,818.0,0.0,6,26391,162907,87.15092266302906
5666,New Canaan,129,2020-04-26,41.1610538,-73.50118370000001,19,638.0,1.0,3,19738,168311,65.35616577160806
5591,Bridgeport,1768,2020-04-26,41.1873858,-73.19573390000002,81,1220.0,63.0,76,144229,41801,122.58283701613406
5627,Fairfield,365,2020-04-26,41.1759399,-73.272046,41,589.0,13.0,14,59404,122306,61.443673826678335
5737,Wilton,144,2020-04-26,41.2065319,-73.4376073,27,783.0,0.0,5,18062,172095,79.72539032222345
5733,Weston,60,2020-04-26,41.2281028,-73.3667574,2,586.0,1.0,2,10179,217171,58.944886531093424
5660,Milford,443,2020-04-26,41.2240963,-73.06003079999998,44,810.0,9.0,14,52759,80247,83.96671657916184
5720,Trumbull,328,2020-04-26,41.2728914,-73.2118988,49,916.0,17.0,17,36018,111312,91.06557832195014
5683,Orange,62,2020-04-26,41.2849513,-73.0246368,1,444.0,2.0,3,13956,107047,44.42533677271424
5590,Branford,233,2020-04-26,41.2795664,-72.7903506,18,832.0,9.0,7,28026,71938,83.13708699065154
5623,Easton,27,2020-04-26,41.2649447,-73.3004792,1,359.0,0.0,0,7490,131189,36.04806408544726
5603,Clinton,28,2020-04-26,41.2951299,-72.5300394,2,216.0,0.0,0,13260,71455,21.116138763197586
5682,Old Saybrook,20,2020-04-26,41.2935043,-72.3835936,0,198.0,1.0,0,10242,71796,19.527436047646944
5732,Westbrook,14,2020-04-26,41.3036945,-72.47801679999998,1,202.0,0.0,0,6938,78346,20.17872585759585
5669,New Haven,1411,2020-04-26,41.3108088,-72.924953,51,1082.0,34.0,52,129779,37192,108.7232911333883
5622,Eastford,6,2020-04-26,41.8955959,-72.0933051,0,335.0,1.0,0,1749,78466,34.305317324185246
5679,Norwalk,1409,2020-04-26,41.0927388,-73.41979549999998,69,1582.0,7.0,78,85603,76987,164.59703515063723
5633,Greenwich,625,2020-04-26,41.0434601,-73.62841329999998,33,996.0,5.0,36,61171,128153,102.17259812656323
5714,Stratford,491,2020-04-26,41.2054753,-73.128152,31,945.0,8.0,14,51384,66886,95.55503658726452
5728,Waterford,99,2020-04-26,41.3518196,-72.14689240000001,10,524.0,0.0,3,19517,75956,50.725008966541985
5738,Winchester,39,2020-04-26,41.9228687,-73.1099267,2,366.0,1.0,1,11242,52757,34.691336061199074
5611,Darien,178,2020-04-26,41.0521498,-73.4797138,5,818.0,0.0,5,20732,208906,85.85761142195639
5615,East Granby,5,2020-04-26,41.929719,-72.7453784,0,97.0,0.0,0,5148,72684,9.712509712509712
5597,Canaan,0,2020-04-26,41.9629594,-73.30714329999998,0,0.0,0.0,0,1234,72321,0.0
5717,Thompson,13,2020-04-26,41.99028670000001,-71.8670243,1,138.0,0.0,0,9458,69924,13.744977796574329
5745,Woodstock,11,2020-04-26,41.9662084,-72.0227864,0,140.0,0.0,0,7964,78594,13.812154696132596
5641,Hartland,5,2020-04-26,42.0012054,-72.95402659999998,0,236.0,0.0,0,2114,91964,23.651844843897823
5605,Colebrook,2,2020-04-26,42.0053727,-73.0637318,0,142.0,0.0,0,1485,81172,13.468013468013469
5674,Norfolk,6,2020-04-26,41.969912,-73.17846440000002,0,366.0,1.0,0,1709,72875,35.108250438853126
5581,Barkhamsted,14,2020-04-26,41.9357077,-72.9729214,0,386.0,1.0,0,3799,95735,36.851803106080546
5698,Salisbury,6,2020-04-26,41.986226,-73.4252735,0,167.0,0.0,0,3741,82794,16.038492381716118
5691,Prospect,32,2020-04-26,41.4992475,-72.9756347,0,327.0,1.0,1,9405,102397,34.02445507708666
5667,New Fairfield,94,2020-04-26,41.4820807,-73.4876199,1,677.0,0.0,3,13881,101273,67.71846408760176
5731,West Haven,653,2020-04-26,41.2721217,-72.96749770000002,27,1190.0,12.0,28,55564,50846,117.52213663523143
5635,Groton,63,2020-04-26,41.3475735,-72.0313358,7,163.0,15.0,4,40115,62137,15.704848560388882
5700,Seymour,145,2020-04-26,41.3851323,-73.0835288,19,878.0,5.0,5,16540,76991,87.66626360338573
5675,North Branford,57,2020-04-26,41.3638391,-72.7848682,2,403.0,1.0,1,14407,84697,39.56410078434095
5676,North Canaan,4,2020-04-26,42.0222151,-73.2957158,1,123.0,0.0,0,3315,69231,12.066365007541478
