,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7
5311,Lisbon,5,2020-04-24,41.60276560000001,-72.01226109999998,0,118.0,0.0,0
5246,Bethany,21,2020-04-24,41.422964,-72.99418709999998,1,383.0,2.0,1
5335,Newtown,99,2020-04-24,41.3980947,-73.2931691,3,356.0,2.0,4
5310,Ledyard,8,2020-04-24,41.4311315,-72.0203029,1,54.0,0.0,0
5324,Montville,58,2020-04-24,41.4638999,-72.15557009999998,0,310.0,2.0,2
5340,North Stonington,2,2020-04-24,41.4711838,-71.87236949999998,0,38.0,0.0,0
5359,Salem,3,2020-04-24,41.4893505,-72.25838040000002,0,73.0,0.0,0
5320,Middlefield,10,2020-04-24,41.514163,-72.7178435,0,228.0,1.0,0
5263,Cheshire,104,2020-04-24,41.5118273,-72.90361740000002,6,356.0,12.0,5
5363,Sharon,12,2020-04-24,41.8607607,-73.4492128,1,444.0,1.0,0
5402,Windsor,248,2020-04-24,41.8710365,-72.6750825,60,862.0,15.0,13
5398,Willington,5,2020-04-24,41.8972671,-72.25184770000001,0,85.0,0.0,0
5271,Cromwell,43,2020-04-24,41.6165508,-72.6616042,4,309.0,1.0,1
5351,Portland,44,2020-04-24,41.59883410000001,-72.58907090000002,10,473.0,2.0,1
5404,Wolcott,51,2020-04-24,41.5963055,-72.9696244,5,306.0,0.0,1
5296,Griswold,11,2020-04-24,41.5847725,-71.92109070000002,0,95.0,0.0,0
5279,East Hampton,27,2020-04-24,41.5677366,-72.5095441,3,210.0,1.0,1
5385,Voluntown,4,2020-04-24,41.5791925,-71.83122759999998,1,158.0,1.0,0
5244,Beacon Falls,33,2020-04-24,41.443684999999995,-73.0519252,1,534.0,1.0,1
5346,Oxford,50,2020-04-24,41.4440006,-73.14799920000002,2,378.0,-1.0,0
5272,Danbury,1299,2020-04-24,41.401838899999994,-73.4722848,70,1533.0,4.0,67
5282,East Lyme,43,2020-04-24,41.3567172,-72.230131,1,231.0,6.0,3
5364,Shelton,382,2020-04-24,41.3045153,-73.139041,82,930.0,12.0,11
5356,Ridgefield,171,2020-04-24,41.3062494,-73.5010194,27,684.0,4.0,5
5240,Ansonia,148,2020-04-24,41.3442494,-73.06982540000001,3,791.0,5.0,5
5281,East Haven,256,2020-04-24,41.2934528,-72.8589937,28,892.0,9.0,10
5343,Old Lyme,11,2020-04-24,41.3123196,-72.3057421,1,149.0,1.0,0
5288,Essex,14,2020-04-24,41.3473533,-72.41241219999998,1,210.0,0.0,0
5332,New London,63,2020-04-24,41.3306073,-72.0939176,2,234.0,4.0,2
5323,Monroe,70,2020-04-24,41.3392358,-73.22282750000002,5,360.0,2.0,2
5405,Woodbridge,88,2020-04-24,41.3635379,-73.0038921,15,999.0,0.0,3
5274,Deep River,8,2020-04-24,41.3678191,-72.4774422,0,179.0,0.0,0
5247,Bethel,176,2020-04-24,41.3697777,-73.38950320000002,11,893.0,-1.0,7
5298,Guilford,63,2020-04-24,41.33902670000001,-72.7060885,1,284.0,0.0,1
5264,Chester,32,2020-04-24,41.4096829,-72.4847352,7,757.0,-1.0,0
5339,North Haven,151,2020-04-24,41.381327299999995,-72.8563475,9,637.0,7.0,6
5375,Stonington,26,2020-04-24,41.363798100000004,-71.9113287,2,141.0,2.0,1
5314,Madison,65,2020-04-24,41.34674920000001,-72.6254563,4,359.0,9.0,2
5313,Lyme,1,2020-04-24,41.3986146,-72.33154559999998,0,43.0,0.0,0
5300,Hamden,516,2020-04-24,41.397363,-72.9222116,30,847.0,18.0,22
5276,Durham,18,2020-04-24,41.4689218,-72.68452540000001,1,250.0,0.0,0
5326,Naugatuck,144,2020-04-24,41.488597,-73.0518819,2,460.0,11.0,6
5299,Haddam,17,2020-04-24,41.48126420000001,-72.5481469,0,207.0,0.0,0
5290,Farmington,127,2020-04-24,41.7304216,-72.84305090000002,17,498.0,19.0,9
5374,Sterling,2,2020-04-24,41.7012,-71.81598819999998,0,53.0,0.0,0
5387,Warren,3,2020-04-24,41.7358548,-73.3428314,0,214.0,0.0,0
5306,Kent,7,2020-04-24,41.729782,-73.45414,0,251.0,0.0,0
5312,Litchfield,19,2020-04-24,41.7409544,-73.19278320000002,2,234.0,4.0,1
5304,Harwinton,20,2020-04-24,41.7613447,-73.06044320000002,2,368.0,1.0,0
5280,East Hartford,337,2020-04-24,41.760695299999995,-72.6076462,45,674.0,36.0,18
5392,West Hartford,238,2020-04-24,41.7665678,-72.75494350000002,33,378.0,16.0,10
5250,Bolton,9,2020-04-24,41.7645883,-72.4375755,2,184.0,0.0,0
5302,Hartford,821,2020-04-24,41.766045299999995,-72.68333940000002,72,670.0,38.0,36
5258,Burlington,18,2020-04-24,41.757516700000004,-72.9575607,2,186.0,0.0,0
5315,Manchester,290,2020-04-24,41.7752403,-72.524434,29,503.0,12.0,12
5242,Avon,40,2020-04-24,41.787158500000004,-72.8520463,4,219.0,3.0,1
5333,New Milford,183,2020-04-24,41.60464010000001,-73.4211295,6,678.0,9.0,9
5357,Rocky Hill,199,2020-04-24,41.6566243,-72.6617787,28,988.0,15.0,13
5317,Marlborough,32,2020-04-24,41.636439,-72.45400179999999,0,503.0,3.0,2
5348,Plainville,85,2020-04-24,41.673992299999995,-72.8544338,5,482.0,5.0,4
5347,Plainfield,14,2020-04-24,41.69735479999999,-71.8969643,0,92.0,0.0,0
5239,Andover,5,2020-04-24,41.7329821,-72.3746584,0,155.0,2.0,0
5260,Canterbury,4,2020-04-24,41.695706,-72.003414,0,78.0,2.0,0
5391,Watertown,68,2020-04-24,41.6172439,-73.1143625,4,314.0,5.0,2
5278,East Haddam,10,2020-04-24,41.4766614,-72.39212009999999,0,111.0,0.0,0
5254,Bridgewater,4,2020-04-24,41.520294,-73.3610927,0,244.0,0.0,0
5319,Middlebury,29,2020-04-24,41.5246912,-73.1230162,2,375.0,0.0,1
5352,Preston,3,2020-04-24,41.5186523,-72.0065973,0,65.0,1.0,0
5318,Meriden,263,2020-04-24,41.5367771,-72.7945433,28,442.0,22.0,12
5251,Bozrah,4,2020-04-24,41.5450583,-72.175228,0,158.0,0.0,0
5321,Middletown,266,2020-04-24,41.5495338,-72.6577193,31,576.0,11.0,11
5358,Roxbury,6,2020-04-24,41.5554983,-73.2960113,1,278.0,0.0,0
5256,Brookfield,121,2020-04-24,41.4698845,-73.3936666,4,712.0,0.0,2
5342,Norwich,34,2020-04-24,41.547860299999996,-72.089488,1,87.0,1.0,1
5389,Waterbury,1062,2020-04-24,41.558500099999996,-73.03668449999998,86,982.0,48.0,34
5266,Colchester,15,2020-04-24,41.5573768,-72.3442483,1,94.0,2.0,0
5245,Berlin,83,2020-04-24,41.6054768,-72.7784592,5,406.0,4.0,3
5370,Southington,153,2020-04-24,41.606877000000004,-72.87878420000001,8,349.0,9.0,6
5371,Sprague,2,2020-04-24,41.635570200000004,-72.07752679999999,0,69.0,0.0,0
5291,Franklin,3,2020-04-24,41.6212115,-72.14260909999999,0,155.0,0.0,0
5365,Sherman,11,2020-04-24,41.581190899999996,-73.5014683,1,304.0,0.0,0
5248,Bethlehem,7,2020-04-24,41.6357676,-73.2114114,1,205.0,0.0,0
5406,Woodbury,28,2020-04-24,41.5616321,-73.20609590000002,2,294.0,0.0,1
5386,Wallingford,185,2020-04-24,41.461989,-72.8055114,11,415.0,21.0,10
5308,Killingworth,11,2020-04-24,41.380739500000004,-72.57665899999998,4,173.0,0.0,0
5275,Derby,83,2020-04-24,41.3261714,-73.08256949999998,2,663.0,2.0,3
5369,Southbury,115,2020-04-24,41.476862,-73.2300815,17,585.0,3.0,3
5380,Tolland,35,2020-04-24,41.882488,-72.3590679,1,239.0,2.0,1
5388,Washington,18,2020-04-24,41.6561747,-73.31017469999998,0,524.0,3.0,0
5349,Plymouth,36,2020-04-24,41.6663976,-73.026515,0,309.0,1.0,0
5309,Lebanon,12,2020-04-24,41.632954999999995,-72.24008959999998,1,167.0,0.0,0
5327,New Britain,345,2020-04-24,41.6765545,-72.7861613,26,476.0,20.0,18
5325,Morris,7,2020-04-24,41.6943221,-73.2099997,0,309.0,1.0,0
5255,Bristol,300,2020-04-24,41.681577600000004,-72.94074870000001,34,500.0,9.0,10
5366,Simsbury,60,2020-04-24,41.877282,-72.8290758,3,240.0,1.0,2
5334,Newington,169,2020-04-24,41.6869935,-72.73083840000002,18,561.0,2.0,7
5305,Hebron,15,2020-04-24,41.6583378,-72.3934727,1,158.0,3.0,0
5268,Columbia,6,2020-04-24,41.6945271,-72.305414,0,111.0,0.0,0
5292,Glastonbury,142,2020-04-24,41.691883399999995,-72.5521735,28,412.0,5.0,7
5361,Scotland,0,2020-04-24,41.6921799,-72.0996602,0,0.0,0.0,0
5401,Windham,37,2020-04-24,41.7024192,-72.1700811,1,150.0,3.0,2
5354,Putnam,10,2020-04-24,41.9080271,-71.8704519,0,106.0,1.0,0
5283,East Windsor,33,2020-04-24,41.904009499999994,-72.5644729,0,290.0,6.0,1
5403,Windsor Locks,36,2020-04-24,41.9277901,-72.65161579999999,5,280.0,3.0,1
5397,Wethersfield,117,2020-04-24,41.70248370000001,-72.66930140000002,5,449.0,10.0,4
5286,Ellington,28,2020-04-24,41.9151666,-72.4442938,5,172.0,0.0,1
5269,Cornwall,4,2020-04-24,41.8496485,-73.3300949,0,292.0,1.0,0
5293,Goshen,6,2020-04-24,41.8495372,-73.2340016,0,208.0,0.0,0
5378,Thomaston,37,2020-04-24,41.6648907,-73.0958729,0,489.0,1.0,1
5257,Brooklyn,11,2020-04-24,41.787243200000006,-71.9574015,0,133.0,0.0,0
5301,Hampton,0,2020-04-24,41.78303010000001,-72.0645718,0,0.0,0.0,0
5262,Chaplin,0,2020-04-24,41.7908895,-72.1295395,0,0.0,0.0,0
5316,Mansfield,14,2020-04-24,41.789272499999996,-72.2284642,1,54.0,3.0,0
5270,Coventry,24,2020-04-24,41.7800989,-72.3440207,0,193.0,2.0,1
5368,South Windsor,74,2020-04-24,41.8380902,-72.5778358,12,284.0,5.0,3
5384,Vernon,100,2020-04-24,41.83752310000001,-72.4591228,6,341.0,0.0,2
5350,Pomfret,8,2020-04-24,41.8653744,-71.9791434,0,190.0,1.0,0
5381,Torrington,265,2020-04-24,41.8342549,-73.13152009999997,46,774.0,23.0,11
5249,Bloomfield,215,2020-04-24,41.8449305,-72.7409509,33,1009.0,10.0,11
5307,Killingly,18,2020-04-24,41.82986560000001,-71.8490767,1,104.0,1.0,0
5383,Union,1,2020-04-24,42.005783,-72.158567,0,119.0,1.0,0
5372,Stafford,71,2020-04-24,41.98388189999999,-72.3075749,17,597.0,1.0,2
5367,Somers,62,2020-04-24,41.9927806,-72.45362970000002,1,572.0,2.0,5
5287,Enfield,260,2020-04-24,41.983993,-72.5555531,16,585.0,16.0,12
5377,Suffield,83,2020-04-24,41.9999149,-72.67875090000003,12,527.0,2.0,2
5294,Granby,9,2020-04-24,41.9714802,-72.83015879999998,1,79.0,1.0,0
5330,New Hartford,15,2020-04-24,41.8410406,-72.9986804,1,224.0,1.0,0
5241,Ashford,9,2020-04-24,41.897122700000004,-72.17142679999998,0,211.0,0.0,0
5261,Canton,47,2020-04-24,41.858725899999996,-72.9108619,10,458.0,1.0,3
5355,Redding,54,2020-04-24,41.3054148,-73.3925837,6,592.0,0.0,3
5373,Stamford,2223,2020-04-24,41.0798566,-73.54602790000001,111,1713.0,41.0,72
5396,Westport,228,2020-04-24,41.122001899999994,-73.3434064,10,811.0,4.0,6
5328,New Canaan,128,2020-04-24,41.1610538,-73.50118370000001,19,633.0,1.0,3
5253,Bridgeport,1640,2020-04-24,41.187385799999994,-73.19573390000002,69,1132.0,63.0,74
5289,Fairfield,346,2020-04-24,41.175939899999996,-73.272046,40,558.0,11.0,13
5399,Wilton,141,2020-04-24,41.206531899999995,-73.4376073,27,766.0,1.0,5
5395,Weston,57,2020-04-24,41.2281028,-73.3667574,2,556.0,0.0,2
5322,Milford,425,2020-04-24,41.2240963,-73.06003079999998,37,778.0,12.0,14
5382,Trumbull,302,2020-04-24,41.2728914,-73.2118988,46,844.0,35.0,16
5345,Orange,57,2020-04-24,41.284951299999996,-73.0246368,0,409.0,7.0,2
5252,Branford,211,2020-04-24,41.2795664,-72.7903506,17,753.0,0.0,5
5285,Easton,28,2020-04-24,41.2649447,-73.3004792,1,372.0,1.0,0
5265,Clinton,28,2020-04-24,41.2951299,-72.5300394,1,216.0,1.0,0
5344,Old Saybrook,19,2020-04-24,41.293504299999995,-72.3835936,0,188.0,0.0,0
5394,Westbrook,14,2020-04-24,41.3036945,-72.47801679999998,1,202.0,0.0,0
5331,New Haven,1324,2020-04-24,41.3108088,-72.924953,45,1015.0,20.0,56
5284,Eastford,3,2020-04-24,41.8955959,-72.0933051,0,168.0,1.0,0
5341,Norwalk,1390,2020-04-24,41.0927388,-73.41979549999998,64,1561.0,25.0,78
5295,Greenwich,614,2020-04-24,41.043460100000004,-73.62841329999998,28,979.0,4.0,34
5376,Stratford,477,2020-04-24,41.205475299999996,-73.128152,30,918.0,9.0,18
5390,Waterford,94,2020-04-24,41.3518196,-72.14689240000001,8,498.0,3.0,5
5400,Winchester,35,2020-04-24,41.9228687,-73.1099267,2,328.0,4.0,1
5273,Darien,176,2020-04-24,41.052149799999995,-73.4797138,5,809.0,1.0,5
5277,East Granby,5,2020-04-24,41.929719,-72.7453784,0,97.0,1.0,0
5259,Canaan,0,2020-04-24,41.962959399999995,-73.30714329999998,0,0.0,0.0,0
5379,Thompson,13,2020-04-24,41.99028670000001,-71.8670243,1,138.0,1.0,0
5407,Woodstock,10,2020-04-24,41.9662084,-72.0227864,0,127.0,0.0,0
5303,Hartland,4,2020-04-24,42.0012054,-72.95402659999998,0,189.0,0.0,0
5267,Colebrook,1,2020-04-24,42.0053727,-73.0637318,0,71.0,0.0,0
5336,Norfolk,5,2020-04-24,41.969912,-73.17846440000002,0,305.0,0.0,0
5243,Barkhamsted,13,2020-04-24,41.9357077,-72.9729214,0,359.0,1.0,0
5360,Salisbury,6,2020-04-24,41.986226,-73.4252735,0,167.0,0.0,0
5353,Prospect,29,2020-04-24,41.499247499999996,-72.9756347,0,296.0,0.0,0
5329,New Fairfield,94,2020-04-24,41.482080700000004,-73.4876199,1,677.0,0.0,3
5393,West Haven,620,2020-04-24,41.2721217,-72.96749770000002,25,1130.0,13.0,30
5297,Groton,46,2020-04-24,41.347573499999996,-72.0313358,4,119.0,6.0,2
5362,Seymour,139,2020-04-24,41.385132299999995,-73.0835288,17,842.0,1.0,6
5337,North Branford,54,2020-04-24,41.3638391,-72.7848682,2,381.0,0.0,2
5338,North Canaan,3,2020-04-24,42.022215100000004,-73.2957158,1,92.0,1.0,0
